"Time [s]"	"Coolant Temperature"	"Intake Manifold Pressure"	"Engine RPM"	"Vehicle Speed"	"Distance since MIL activated"	"Fuel Level Input"	"Distance since ECU reset"	"CAT Temperature B1S1"	"Absolute Engine Load"	"Commanded Equivalence Ratio"	"Ethanol fuel %"	
    2021-06-03 13:15:06.869	89.0	99.0	1910.25	18.0	0.0	100.0	4334.0	549.5	69.4117660522461	98.9898681640625	22.352941513061523	
    2021-06-03 13:15:07.860	90.0	67.0	1968.25	22.0	0.0	99.21568298339844	4334.0	552.0999755859375	51.3725471496582	95.7550048828125	22.352941513061523	
    2021-06-03 13:15:08.880	90.0	38.0	2223.0	25.0	0.0	99.21568298339844	4334.0	555.4000244140625	34.117645263671875	100.3570556640625	22.352941513061523	
    2021-06-03 13:15:09.904	90.0	36.0	2355.0	26.0	0.0	97.64705657958984	4334.0	557.9000244140625	27.843137741088867	103.0914306640625	22.352941513061523	
    2021-06-03 13:15:10.956	90.0	50.0	2311.0	26.0	0.0	98.03921508789062	4334.0	559.9000244140625	30.19607925415039	96.343994140625	22.352941513061523	
    2021-06-03 13:15:11.941	90.0	35.0	2316.25	25.0	0.0	97.64705657958984	4334.0	561.5	27.45098114013672	95.880126953125	22.352941513061523	
    2021-06-03 13:15:12.968	89.0	47.0	2274.75	25.0	0.0	98.03921508789062	4334.0	562.5	17.647058486938477	97.1160888671875	22.352941513061523	
    2021-06-03 13:15:13.981	89.0	62.0	2240.0	24.0	0.0	97.2549057006836	4334.0	563.2000122070312	34.117645263671875	99.6551513671875	22.352941513061523	
    2021-06-03 13:15:14.980	89.0	41.0	2256.5	25.0	0.0	81.5686264038086	4334.0	564.2000122070312	34.117645263671875	94.6624755859375	22.352941513061523	
    2021-06-03 13:15:16.031	89.0	29.0	2239.0	25.0	0.0	90.19607543945312	4334.0	565.2999877929688	20.784313201904297	95.98388671875	22.352941513061523	
    2021-06-03 13:15:17.073	89.0	25.0	2154.75	24.0	0.0	100.0	4334.0	565.7000122070312	15.686274528503418	100.32958984375	22.352941513061523	
    2021-06-03 13:15:18.062	89.0	26.0	1951.5	21.0	0.0	97.64705657958984	4334.0	565.2999877929688	13.333333015441895	101.94091796875	22.352941513061523	
    2021-06-03 13:15:19.053	88.0	60.0	1813.75	20.0	0.0	93.7254867553711	4334.0	564.9000244140625	33.33333206176758	104.4586181640625	22.352941513061523	
    2021-06-03 13:15:20.159	88.0	64.0	1765.25	19.0	0.0	99.21568298339844	4334.0	565.0	34.117645263671875	98.3367919921875	22.352941513061523	
    2021-06-03 13:15:21.182	88.0	50.0	1821.5	20.0	0.0	97.64705657958984	4334.0	565.0	28.235294342041016	96.81396484375	22.352941513061523	
    2021-06-03 13:15:22.290	88.0	32.0	1793.75	20.0	0.0	93.7254867553711	4334.0	564.7000122070312	19.60784339904785	99.3133544921875	22.352941513061523	
    2021-06-03 13:15:23.313	88.0	66.0	1738.75	19.0	0.0	98.03921508789062	4334.0	563.9000244140625	38.039215087890625	101.788330078125	22.352941513061523	
    2021-06-03 13:15:24.328	88.0	46.0	1796.75	19.0	0.0	98.03921508789062	4334.0	563.7999877929688	31.764705657958984	101.055908203125	22.352941513061523	
    2021-06-03 13:15:25.384	88.0	34.0	1805.25	20.0	0.0	99.21568298339844	4334.0	563.5999755859375	21.568628311157227	101.5411376953125	22.352941513061523	
    2021-06-03 13:15:26.430	88.0	28.0	1499.0	17.0	0.0	98.4313735961914	4334.0	562.7000122070312	16.47058868408203	100.1251220703125	22.352941513061523	
